Filename                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
libs/core/src/obj/interest.cpp                                            73                 1    98.63%          15                 0   100.00%         181                 3    98.34%          46                 1    97.83%
libs/core/src/obj/native_object.cpp                                      101                 0   100.00%          35                 0   100.00%         315                 0   100.00%          50                 6    88.00%
libs/core/src/obj/native_object_proxy.cpp                                 53                 0   100.00%          24                 0   100.00%         104                 0   100.00%          24                 5    79.17%
libs/core/src/obj/object.cpp                                              13                 0   100.00%           6                 0   100.00%          34                 0   100.00%           6                 0   100.00%
libs/core/src/obj/object_filter.cpp                                      191                 0   100.00%          44                 0   100.00%         437                 0   100.00%         130                14    89.23%
libs/core/src/obj/object_mux.cpp                                          93                 0   100.00%          24                 0   100.00%         247                 0   100.00%          76                 6    92.11%
libs/core/src/obj/object_provider.cpp                                     39                 1    97.44%          20                 1    95.00%         107                 1    99.07%          24                 2    91.67%
libs/core/src/obj/remote_object.cpp                                      167                11    93.41%          35                 1    97.14%         317                22    93.06%          91                16    82.42%
libs/core/src/obj/work_queue.cpp                                          50                 4    92.00%          23                 0   100.00%         102                13    87.25%          22                 6    72.73%
libs/db/include/sen/db/annotation.h                                        1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
libs/db/include/sen/db/creation.h                                          1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/db/include/sen/db/cursor.h                                            2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/db/include/sen/db/event.h                                             1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/db/include/sen/db/keyframe.h                                          1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/db/include/sen/db/property_change.h                                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/db/include/sen/db/snapshot.h                                          1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/db/src/annotation.cpp                                                 8                 0   100.00%           4                 0   100.00%          14                 0   100.00%           2                 1    50.00%
libs/db/src/creation.cpp                                                   3                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
libs/db/src/deletion.cpp                                                   3                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
libs/db/src/event.cpp                                                     14                 1    92.86%           5                 0   100.00%          25                 3    88.00%           6                 2    66.67%
libs/db/src/input.cpp                                                    237                73    69.20%          75                 4    94.67%         761               205    73.06%          95                47    50.53%
libs/db/src/keyframe.cpp                                                   3                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
libs/db/src/output.cpp                                                   136                22    83.82%          57                 7    87.72%         417                56    86.57%          47                15    68.09%
libs/db/src/property_change.cpp                                           10                 0   100.00%           5                 0   100.00%          15                 0   100.00%           2                 1    50.00%
libs/db/src/snapshot.cpp                                                  30                 4    86.67%           9                 0   100.00%          64                17    73.44%          12                 4    66.67%
libs/db/src/util.cpp                                                      42                10    76.19%          11                 1    90.91%         134                26    80.60%          26                 7    73.08%
libs/db/src/util.h                                                         4                 0   100.00%           4                 0   100.00%          26                 0   100.00%           0                 0         -
libs/gen/src/common/type_storage.cpp                                     277                28    89.89%          87                 8    90.80%         950                69    92.74%         220                35    84.09%
libs/gen/src/common/type_storage.h                                        16                 1    93.75%           4                 0   100.00%          26                 7    73.08%           4                 1    75.00%
libs/gen/src/common/util.cpp                                              98                 2    97.96%          39                 2    94.87%         215                 8    96.28%          54                 4    92.59%
libs/gen/src/common/util.h                                                 2                 0   100.00%           2                 0   100.00%          10                 0   100.00%           0                 0         -
libs/gen/src/cpp/cpp_generator.cpp                                        65                 6    90.77%          25                 1    96.00%         198                10    94.95%          40                11    72.50%
libs/gen/src/cpp/cpp_templates.cpp                                         5                 0   100.00%           5                 0   100.00%          34                 0   100.00%           0                 0         -
libs/gen/src/html/html_app.cpp                                             1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
libs/gen/src/html/html_generator.cpp                                     174                 8    95.40%          30                 0   100.00%         521                21    95.97%         156                14    91.03%
libs/gen/src/json/json_generator.cpp                                     100                19    81.00%          29                 1    96.55%         249                54    78.31%          62                21    66.13%
libs/gen/src/json/json_templates.cpp                                       1                 0   100.00%           1                 0   100.00%          13                 0   100.00%           0                 0         -
libs/gen/src/mkdocs/classdoc_tree.cpp                                     19                 3    84.21%           6                 1    83.33%          28                 5    82.14%           8                 3    62.50%
libs/gen/src/mkdocs/classdoc_tree.h                                        1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/gen/src/mkdocs/mkdocs_generator.cpp                                 141                12    91.49%          34                 1    97.06%         385                29    92.47%          96                20    79.17%
libs/gen/src/mkdocs/mkdocs_templates.cpp                                   1                 0   100.00%           1                 0   100.00%          13                 0   100.00%           0                 0         -
libs/gen/src/plantuml/plantuml_generator.cpp                              39                 3    92.31%          18                 1    94.44%          79                 4    94.94%          16                 4    75.00%
libs/gen/src/plantuml/plantuml_templates.cpp                               1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
libs/gen/src/python/python_generator.cpp                                  29                 5    82.76%          19                 2    89.47%          67                22    67.16%           8                 4    50.00%
libs/gen/src/python/python_templates.cpp                                   1                 0   100.00%           1                 0   100.00%          12                 0   100.00%           0                 0         -
libs/gen/src/typescript/typescript_generator.cpp                          75                 4    94.67%          21                 1    95.24%         190                15    92.11%          56                 5    91.07%
libs/gen/src/typescript/typescript_templates.cpp                           2                 0   100.00%           2                 0   100.00%          15                 0   100.00%           0                 0         -
libs/gen/src/typst/typst_generator.cpp                                   463                39    91.58%          48                 1    97.92%         938                63    93.28%         386                55    85.75%
libs/kernel/include/sen/kernel/component.h                                15                 2    86.67%          14                 2    85.71%          21                 2    90.48%           0                 0         -
libs/kernel/include/sen/kernel/component_api.h                             5                 5     0.00%           4                 4     0.00%          20                20     0.00%           0                 0         -
libs/kernel/include/sen/kernel/kernel_config.h                             6                 1    83.33%           6                 1    83.33%           6                 1    83.33%           0                 0         -
